year,team,PRFa,PHRFa,PNHRFa
2010,Pittsburgh,0.984120326,0.908187011,1.010265821
2010,San Diego,0.922254604,0.897667671,0.966477408
2010,San Francisco,0.957872902,0.914421924,0.989327392
2010,Seattle,0.92343415,0.883617271,0.970866768
2010,St. Louis,0.969012396,0.901893378,1.000644922
2010,Tampa Bay,0.929430894,0.952332657,0.958340923
2010,Texas,1.069564905,1.104072275,1.026143334
2010,Toronto,0.998451652,1.072618352,0.981215839
2010,Washington,0.991647185,1.001584114,0.993412536
2011,Anaheim,0.941117093,0.92907837,0.973137683
2011,Arizona,1.057580002,1.03702022,1.033257784
2011,Atlanta,0.981996953,0.967522053,0.99451831
2011,Baltimore,1.019443207,1.095801675,0.991034214
2011,Boston,1.060162639,0.955966757,1.054065065
2011,Chicago Cubs,1.011939475,1.0085444,1.006775879
2011,Chicago Sox,1.024901027,1.130395467,0.986598335
2011,Cincinnati,1.022783251,1.14486706,0.981405142
2011,Cleveland,0.966007357,0.985021809,0.978120888
2011,Colorado,1.171551891,1.158101335,1.085412965
2011,Detroit,1.026245111,0.99211056,1.021232998
2011,Houston,1.010954004,1.059148804,0.993687619
2011,Kansas City,1.011366893,0.90063033,1.032207324
2011,Los Angeles,0.958401547,0.979923965,0.973596292
2011,Miami,0.989392454,0.954437415,1.00322725
2011,Milwaukee,1.017284375,1.081906662,0.992835371
2011,Minnesota,0.986306729,0.935602162,1.005520487
2011,NY Mets,0.952459303,0.92982668,0.981587158
2011,NY Yankees,1.043409948,1.120689655,1.002828804
2011,Oakland,0.969422696,0.907416155,0.999853707
2011,Philadelphia,1.00972305,1.031941316,0.999435532
2011,Pittsburgh,0.973194724,0.896523621,1.005306825
2011,San Diego,0.913706463,0.909401867,0.956979038
2011,San Francisco,0.912038986,0.851687712,0.970317099
2011,Seattle,0.945339585,0.952166298,0.970569594
2011,St. Louis,0.958265054,0.898764233,0.993642778
2011,Tampa Bay,0.931140132,0.953060375,0.959392527
2011,Texas,1.11631978,1.141634241,1.050693053
2011,Toronto,1.037327556,1.076459639,1.009066389
2011,Washington,0.987126437,1.00856968,0.988257709
2012,Anaheim,0.928886303,0.900693316,0.971705022
2012,Arizona,1.059420607,1.061738933,1.028669275
2012,Atlanta,1.000661831,0.9662435,1.009638536
2012,Baltimore,1.045833201,1.110842774,1.005234867
2012,Boston,1.066173048,0.979070166,1.055233608
2012,Chicago Cubs,1.017577687,1.001176504,1.0131597
2012,Chicago Sox,1.07321239,1.144945428,1.016966949
2012,Cincinnati,1.026967633,1.197793862,0.966496118
2012,Cleveland,0.962447678,0.990898813,0.973130523
2012,Colorado,1.229267765,1.204716781,1.1147253
2012,Detroit,1.027383185,1.002366464,1.020284797
2012,Houston,0.987005962,1.031776517,0.981157913
2012,Kansas City,1.013342137,0.965723725,1.019423958
2012,Los Angeles,0.947563515,1.036131622,0.948378706
2012,Miami,1.004720748,0.863615278,1.039912913
2012,Milwaukee,1.04988009,1.189172589,0.986999197
2012,Minnesota,1.013074199,0.96643319,1.019031893
2012,NY Mets,0.940518746,0.986555025,0.956815368
2012,NY Yankees,1.018175641,1.104231975,0.98559605
2012,Oakland,0.960897512,0.919306335,0.991717937
2012,Philadelphia,0.997943425,1.068611242,0.979556947
2012,Pittsburgh,0.932947837,0.846441311,0.989933637
2012,San Diego,0.926234414,0.871030586,0.977875528
2012,San Francisco,0.903233054,0.819551389,0.974021748
2012,Seattle,0.894311319,0.867457669,0.953366491
2012,St. Louis,0.9837282,0.937314648,1.0044682
2012,Tampa Bay,0.939958413,0.921370203,0.974711273
2012,Texas,1.076178747,1.072450758,1.038366555
2012,Toronto,1.018918695,1.064723685,0.997006176
2012,Washington,1.004346677,0.985193844,1.007351593
2013,Anaheim,0.957594431,0.933685115,0.984986086
2013,Arizona,1.024471635,1.003512391,1.017604904
2013,Atlanta,0.981333965,0.958124048,0.996779039
2013,Baltimore,1.02717944,1.107725763,0.992331394
2013,Boston,1.026874882,0.942123438,1.035156676
2013,Chicago Cubs,1.032108359,1.036891168,1.014685778
2013,Chicago Sox,1.011479188,1.091048357,0.984650408
2013,Cincinnati,1.007909499,1.150172717,0.965877446
2013,Cleveland,0.983361888,1.020781,0.981650346
2013,Colorado,1.177982021,1.129602445,1.097034194
2013,Detroit,1.034166858,0.989958621,1.028333628
2013,Houston,1.016219163,1.07920568,0.991472391
2013,Kansas City,1.022092502,0.931034483,1.034452177
2013,Los Angeles,0.946350033,1.005859815,0.956546412
2013,Miami,1.005318719,0.848732304,1.043004827
2013,Milwaukee,1.045459073,1.135750074,0.99893172
2013,Minnesota,1.01074123,0.949828781,1.021200079
2013,NY Mets,0.937967653,1.012015326,0.948122038
2013,NY Yankees,1.02577227,1.096475157,0.994234947
2013,Oakland,0.96032005,0.914966727,0.992082075
2013,Philadelphia,1.021136702,1.137062283,0.979811016
2013,Pittsburgh,0.954357035,0.868899416,0.999701825
2013,San Diego,0.925,0.946540153,0.955848149
2013,San Francisco,0.927109716,0.848861581,0.984050878
2013,Seattle,0.955195406,0.942504435,0.980757418
2013,St. Louis,0.966196522,0.929772534,0.992671373
2013,Tampa Bay,0.961683021,0.962129369,0.980534416
2013,Texas,1.045474692,1.018581653,1.029393336
2013,Toronto,1.033043719,1.096340759,0.999839174
2013,Washington,1.004804975,0.941827208,1.018823843
2014,Anaheim,0.952972791,0.938629355,0.979618798
2014,Arizona,1.062857774,1.058719554,1.031884236
2014,Atlanta,0.986544976,0.975029727,0.99594578
2014,Baltimore,1.002302646,1.036012236,0.993278918
2014,Boston,1.05064025,0.93363407,1.051253434
2014,Chicago Cubs,0.983538253,0.992413223,0.989648875
2014,Chicago Sox,1.016841442,1.059293175,0.99853408
2014,Cincinnati,1.001871883,1.134594972,0.969566131
2014,Cleveland,1.002028768,1.029320669,0.994644687
2014,Colorado,1.219851769,1.162767673,1.116439727
2014,Detroit,1.007110463,0.999611305,1.005287552
2014,Houston,0.998793355,1.067190428,0.983330384
2014,Kansas City,1.021670665,0.929269258,1.031845417
2014,Los Angeles,0.945002182,1.046334237,0.947527621
2014,Miami,0.99025473,0.881028347,1.020355311
2014,Milwaukee,1.021633695,1.117944398,0.988321157
2014,Minnesota,1.034075104,0.997677184,1.025195973
2014,NY Mets,0.938683294,1.007050598,0.952282755
2014,NY Yankees,0.994766123,1.157693083,0.958585317
2014,Oakland,0.976023951,0.923867281,1.00015748
2014,Philadelphia,0.978987655,1.099803232,0.960583138
2014,Pittsburgh,0.970248185,0.875205255,1.007230225
2014,San Diego,0.937299368,0.931329965,0.969576975
2014,San Francisco,0.947842881,0.836951563,0.99974423
2014,Seattle,0.927477379,0.976664236,0.951088577
2014,St. Louis,1.003654423,0.960065923,1.011906609
2014,Tampa Bay,0.980504867,0.933868682,1.001111799
2014,Texas,1.041678889,1.005710867,1.028800443
2014,Toronto,1.019548324,1.084256748,0.994691678
2014,Washington,1.014871711,0.923695429,1.028268171
2015,Anaheim,0.951343492,0.968132507,0.970585784
2015,Arizona,1.04831963,1.00035707,1.036777181
2015,Atlanta,0.980797027,0.904890692,1.011372589
2015,Baltimore,1.030259617,1.09890984,0.996094595
2015,Boston,1.060506668,0.960424028,1.056402343
2015,Chicago Cubs,0.994159816,1.047886541,0.982027112
2015,Chicago Sox,0.975608709,1.058325123,0.964238643
2015,Cincinnati,1.023356456,1.080520221,0.995825596
2015,Cleveland,1.058200234,1.012663779,1.040885514
2015,Colorado,1.193634959,1.111949418,1.113066062
2015,Detroit,0.996297616,0.967545639,1.006099311
2015,Houston,0.983333196,1.062553293,0.969236182
2015,Kansas City,1.01461538,0.907217562,1.036411924
2015,Los Angeles,0.95295149,1.002948144,0.961892213
2015,Miami,0.962709485,0.877264757,1.005024592
2015,Milwaukee,1.040002083,1.135496957,0.993511951
2015,Minnesota,1.01577862,1.014770973,1.008135503
2015,NY Mets,0.94141652,0.99000943,0.956284373
2015,NY Yankees,1.010302514,1.134200368,0.970371929
2015,Oakland,0.976297173,0.917315786,1.004486227
2015,Philadelphia,1.005075331,1.108012603,0.973659934
2015,Pittsburgh,0.974591652,0.950316437,0.994006155
2015,San Diego,0.953497675,0.984890761,0.967520238
2015,San Francisco,0.942062149,0.827139024,1.002879844
